Measure_Name,series_name,period_dt,mjr_wrk,value
C-diff per 10K Pt Days,HI-Rgn,2013-03-31,0,5.52400
C-diff per 10K Pt Days,HI-Rgn,2013-06-30,0,4.32100
C-diff per 10K Pt Days,HI-Rgn,2013-09-30,0,4.84400
C-diff per 10K Pt Days,HI-Rgn,2013-12-31,0,5.42100
C-diff per 10K Pt Days,HI-Rgn,2014-03-31,0,5.31700
C-diff per 10K Pt Days,HI-Rgn,2014-06-30,0,5.73000
C-diff per 10K Pt Days,HI-Rgn,2014-09-30,0,6.28000
C-diff per 10K Pt Days,HI-Rgn,2014-12-31,0,6.75000
C-diff per 10K Pt Days,HI-Rgn,2015-03-31,0,6.21000
C-diff per 10K Pt Days,HI-Rgn,2015-06-30,0,5.85000
C-diff per 10K Pt Days,HI-Rgn,2015-09-30,0,4.59000
C-diff per 10K Pt Days,HI-Rgn,2015-12-31,0,4.59000
C-diff per 10K Pt Days,HI-Rgn,2016-03-31,0,6.43000
C-diff per 10K Pt Days,HI-Rgn,2016-06-30,0,7.23000
C-diff per 10K Pt Days,HI-Rgn,2016-09-30,0,7.28000
C-diff per 10K Pt Days,KP-High,2011-06-30,0,17.42600
C-diff per 10K Pt Days,KP-High,2011-09-30,0,14.38400
C-diff per 10K Pt Days,KP-High,2011-12-31,0,16.83100
C-diff per 10K Pt Days,KP-High,2012-03-31,0,13.29900
C-diff per 10K Pt Days,KP-High,2012-06-30,0,12.40800
C-diff per 10K Pt Days,KP-High,2012-09-30,0,11.75700
C-diff per 10K Pt Days,KP-High,2012-12-31,0,11.57300
C-diff per 10K Pt Days,KP-High,2013-03-31,0,10.37300
C-diff per 10K Pt Days,KP-High,2013-06-30,0,10.60700
C-diff per 10K Pt Days,KP-High,2013-09-30,0,10.65800
C-diff per 10K Pt Days,KP-High,2013-12-31,0,13.05000
C-diff per 10K Pt Days,KP-High,2014-03-31,0,13.05700
C-diff per 10K Pt Days,KP-High,2014-06-30,0,13.36000
C-diff per 10K Pt Days,KP-High,2014-09-30,0,17.78000
C-diff per 10K Pt Days,KP-High,2014-12-31,0,18.73000
C-diff per 10K Pt Days,KP-High,2015-03-31,0,18.09000
C-diff per 10K Pt Days,KP-High,2015-06-30,0,14.65000
C-diff per 10K Pt Days,KP-High,2015-09-30,0,14.06000
C-diff per 10K Pt Days,KP-High,2015-12-31,0,14.98000
C-diff per 10K Pt Days,KP-High,2016-03-31,0,16.34000
C-diff per 10K Pt Days,KP-High,2016-06-30,0,13.23000
C-diff per 10K Pt Days,KP-High,2016-09-30,0,12.98000
C-diff per 10K Pt Days,KP-Low,2011-06-30,0,0.00000
C-diff per 10K Pt Days,KP-Low,2011-09-30,0,0.00000
C-diff per 10K Pt Days,KP-Low,2011-12-31,0,1.64200
C-diff per 10K Pt Days,KP-Low,2012-03-31,0,4.35100
C-diff per 10K Pt Days,KP-Low,2012-06-30,0,3.53900
C-diff per 10K Pt Days,KP-Low,2012-09-30,0,4.02000
C-diff per 10K Pt Days,KP-Low,2012-12-31,0,3.17000
C-diff per 10K Pt Days,KP-Low,2013-03-31,0,2.34700
C-diff per 10K Pt Days,KP-Low,2013-06-30,0,3.14290
C-diff per 10K Pt Days,KP-Low,2013-09-30,0,3.24700
C-diff per 10K Pt Days,KP-Low,2013-12-31,0,3.61000
C-diff per 10K Pt Days,KP-Low,2014-03-31,0,3.80100
C-diff per 10K Pt Days,KP-Low,2014-06-30,0,3.38000
C-diff per 10K Pt Days,KP-Low,2014-09-30,0,2.79000
C-diff per 10K Pt Days,KP-Low,2014-12-31,0,4.28000
C-diff per 10K Pt Days,KP-Low,2015-03-31,0,4.35000
C-diff per 10K Pt Days,KP-Low,2015-06-30,0,3.92000
C-diff per 10K Pt Days,KP-Low,2015-09-30,0,3.90000
C-diff per 10K Pt Days,KP-Low,2015-12-31,0,4.59000
C-diff per 10K Pt Days,KP-Low,2016-03-31,0,3.99000
C-diff per 10K Pt Days,KP-Low,2016-06-30,0,3.72000
C-diff per 10K Pt Days,KP-Low,2016-09-30,0,2.37000
C-diff per 10K Pt Days,KP-Nat,2011-06-30,0,6.60200
C-diff per 10K Pt Days,KP-Nat,2011-09-30,0,6.80000
C-diff per 10K Pt Days,KP-Nat,2011-12-31,0,6.79600
C-diff per 10K Pt Days,KP-Nat,2012-03-31,0,6.88200
C-diff per 10K Pt Days,KP-Nat,2012-06-30,0,6.69800
C-diff per 10K Pt Days,KP-Nat,2012-09-30,0,6.31800
C-diff per 10K Pt Days,KP-Nat,2012-12-31,0,6.03000
C-diff per 10K Pt Days,KP-Nat,2013-03-31,0,5.94000
C-diff per 10K Pt Days,KP-Nat,2013-06-30,0,6.06100
C-diff per 10K Pt Days,KP-Nat,2013-09-30,0,6.38400
C-diff per 10K Pt Days,KP-Nat,2013-12-31,0,6.89400
C-diff per 10K Pt Days,KP-Nat,2014-03-31,0,7.15600
C-diff per 10K Pt Days,KP-Nat,2014-06-30,0,7.49000
C-diff per 10K Pt Days,KP-Nat,2014-09-30,0,7.83000
C-diff per 10K Pt Days,KP-Nat,2014-12-31,0,8.33000
C-diff per 10K Pt Days,KP-Nat,2015-03-31,0,8.84000
C-diff per 10K Pt Days,KP-Nat,2015-06-30,0,9.16000
C-diff per 10K Pt Days,KP-Nat,2015-09-30,0,9.42000
C-diff per 10K Pt Days,KP-Nat,2015-12-31,0,9.24000
C-diff per 10K Pt Days,KP-Nat,2016-03-31,0,9.01000
C-diff per 10K Pt Days,KP-Nat,2016-06-30,0,8.50000
C-diff per 10K Pt Days,KP-Nat,2016-09-30,0,7.65000
C-diff per 10K Pt Days,NC-ANT,2011-06-30,0,4.63700
C-diff per 10K Pt Days,NC-ANT,2011-09-30,0,7.04900
C-diff per 10K Pt Days,NC-ANT,2011-12-31,0,7.92500
C-diff per 10K Pt Days,NC-ANT,2012-03-31,0,9.18300
C-diff per 10K Pt Days,NC-ANT,2012-06-30,0,8.63500
C-diff per 10K Pt Days,NC-ANT,2012-09-30,0,5.29100
C-diff per 10K Pt Days,NC-ANT,2012-12-31,0,5.80800
C-diff per 10K Pt Days,NC-ANT,2013-03-31,0,5.54500
C-diff per 10K Pt Days,NC-ANT,2013-06-30,0,7.38700
C-diff per 10K Pt Days,NC-ANT,2013-09-30,0,8.04100
C-diff per 10K Pt Days,NC-ANT,2013-12-31,0,6.10400
C-diff per 10K Pt Days,NC-ANT,2014-03-31,0,6.95600
C-diff per 10K Pt Days,NC-ANT,2014-06-30,0,4.45000
C-diff per 10K Pt Days,NC-ANT,2014-09-30,0,4.39000
C-diff per 10K Pt Days,NC-ANT,2014-12-31,0,5.06000
C-diff per 10K Pt Days,NC-ANT,2015-03-31,0,5.36000
C-diff per 10K Pt Days,NC-ANT,2015-06-30,0,5.91000
C-diff per 10K Pt Days,NC-ANT,2015-09-30,0,8.91000
C-diff per 10K Pt Days,NC-ANT,2015-12-31,0,8.72000
C-diff per 10K Pt Days,NC-ANT,2016-03-31,0,7.70000
C-diff per 10K Pt Days,NC-ANT,2016-06-30,0,8.35000
C-diff per 10K Pt Days,NC-ANT,2016-09-30,0,4.96000
C-diff per 10K Pt Days,NC-FRE,2011-06-30,0,8.45700
C-diff per 10K Pt Days,NC-FRE,2011-09-30,0,8.33000
C-diff per 10K Pt Days,NC-FRE,2011-12-31,0,8.03700
C-diff per 10K Pt Days,NC-FRE,2012-03-31,0,4.71100
C-diff per 10K Pt Days,NC-FRE,2012-06-30,0,8.05600
C-diff per 10K Pt Days,NC-FRE,2012-09-30,0,7.14500
C-diff per 10K Pt Days,NC-FRE,2012-12-31,0,7.25600
C-diff per 10K Pt Days,NC-FRE,2013-03-31,0,9.72800
C-diff per 10K Pt Days,NC-FRE,2013-06-30,0,6.56600
C-diff per 10K Pt Days,NC-FRE,2013-09-30,0,7.62600
C-diff per 10K Pt Days,NC-FRE,2013-12-31,0,8.57700
C-diff per 10K Pt Days,NC-FRE,2014-03-31,0,6.81400
C-diff per 10K Pt Days,NC-FRE,2014-06-30,0,12.67000
C-diff per 10K Pt Days,NC-FRE,2014-09-30,0,17.78000
C-diff per 10K Pt Days,NC-FRE,2014-12-31,0,18.73000
C-diff per 10K Pt Days,NC-FRE,2015-03-31,0,18.09000
C-diff per 10K Pt Days,NC-FRE,2015-06-30,0,12.32000
C-diff per 10K Pt Days,NC-FRE,2015-09-30,0,9.29000
C-diff per 10K Pt Days,NC-FRE,2015-12-31,0,5.82000
C-diff per 10K Pt Days,NC-FRE,2016-03-31,0,8.09000
C-diff per 10K Pt Days,NC-FRE,2016-06-30,0,8.78000
C-diff per 10K Pt Days,NC-FRE,2016-09-30,0,8.87000
C-diff per 10K Pt Days,NC-FRS,2011-06-30,0,6.57600
C-diff per 10K Pt Days,NC-FRS,2011-09-30,0,7.78000
C-diff per 10K Pt Days,NC-FRS,2011-12-31,0,7.62400
C-diff per 10K Pt Days,NC-FRS,2012-03-31,0,5.70000
C-diff per 10K Pt Days,NC-FRS,2012-06-30,0,5.28900
C-diff per 10K Pt Days,NC-FRS,2012-09-30,0,4.03500
C-diff per 10K Pt Days,NC-FRS,2012-12-31,0,4.08600
C-diff per 10K Pt Days,NC-FRS,2013-03-31,0,6.26600
C-diff per 10K Pt Days,NC-FRS,2013-06-30,0,8.02390
C-diff per 10K Pt Days,NC-FRS,2013-09-30,0,9.61300
C-diff per 10K Pt Days,NC-FRS,2013-12-31,0,10.08100
C-diff per 10K Pt Days,NC-FRS,2014-03-31,0,8.90300
C-diff per 10K Pt Days,NC-FRS,2014-06-30,0,6.68000
C-diff per 10K Pt Days,NC-FRS,2014-09-30,0,5.73000
C-diff per 10K Pt Days,NC-FRS,2014-12-31,0,9.26000
C-diff per 10K Pt Days,NC-FRS,2015-03-31,0,9.66000
C-diff per 10K Pt Days,NC-FRS,2015-06-30,0,10.59000
C-diff per 10K Pt Days,NC-FRS,2015-09-30,0,11.44000
C-diff per 10K Pt Days,NC-FRS,2015-12-31,0,9.61000
C-diff per 10K Pt Days,NC-FRS,2016-03-31,0,8.42000
C-diff per 10K Pt Days,NC-FRS,2016-06-30,0,7.31000
C-diff per 10K Pt Days,NC-FRS,2016-09-30,0,6.36000
C-diff per 10K Pt Days,NC-MAN,2011-06-30,0,5.49100
C-diff per 10K Pt Days,NC-MAN,2011-09-30,0,5.92400
C-diff per 10K Pt Days,NC-MAN,2011-12-31,0,1.64200
C-diff per 10K Pt Days,NC-MAN,2012-03-31,0,5.47900
C-diff per 10K Pt Days,NC-MAN,2012-06-30,0,5.98200
C-diff per 10K Pt Days,NC-MAN,2012-09-30,0,6.51000
C-diff per 10K Pt Days,NC-MAN,2012-12-31,0,6.72000
C-diff per 10K Pt Days,NC-MAN,2013-03-31,0,2.34700
C-diff per 10K Pt Days,NC-MAN,2013-06-30,0,7.03900
C-diff per 10K Pt Days,NC-MAN,2013-09-30,0,7.09400
C-diff per 10K Pt Days,NC-MAN,2013-12-31,0,7.50000
C-diff per 10K Pt Days,NC-MAN,2014-03-31,0,7.69400
C-diff per 10K Pt Days,NC-MAN,2014-06-30,0,5.41000
C-diff per 10K Pt Days,NC-MAN,2014-09-30,0,2.79000
C-diff per 10K Pt Days,NC-MAN,2014-12-31,0,8.47000
C-diff per 10K Pt Days,NC-MAN,2015-03-31,0,8.25000
C-diff per 10K Pt Days,NC-MAN,2015-06-30,0,7.75000
C-diff per 10K Pt Days,NC-MAN,2015-09-30,0,7.42000
C-diff per 10K Pt Days,NC-MAN,2015-12-31,0,7.03000
C-diff per 10K Pt Days,NC-MAN,2016-03-31,0,9.57000
C-diff per 10K Pt Days,NC-MAN,2016-06-30,0,8.65000
C-diff per 10K Pt Days,NC-MAN,2016-09-30,0,7.98000
C-diff per 10K Pt Days,NC-MOD,2011-06-30,0,4.88400
C-diff per 10K Pt Days,NC-MOD,2011-09-30,0,5.84600
C-diff per 10K Pt Days,NC-MOD,2011-12-31,0,7.27000
C-diff per 10K Pt Days,NC-MOD,2012-03-31,0,7.52700
C-diff per 10K Pt Days,NC-MOD,2012-06-30,0,6.92300
C-diff per 10K Pt Days,NC-MOD,2012-09-30,0,5.25500
C-diff per 10K Pt Days,NC-MOD,2012-12-31,0,3.53700
C-diff per 10K Pt Days,NC-MOD,2013-03-31,0,5.24900
C-diff per 10K Pt Days,NC-MOD,2013-06-30,0,5.40800
C-diff per 10K Pt Days,NC-MOD,2013-09-30,0,6.30990
C-diff per 10K Pt Days,NC-MOD,2013-12-31,0,7.34500
C-diff per 10K Pt Days,NC-MOD,2014-03-31,0,5.27600
C-diff per 10K Pt Days,NC-MOD,2014-06-30,0,6.41000
C-diff per 10K Pt Days,NC-MOD,2014-09-30,0,7.30000
C-diff per 10K Pt Days,NC-MOD,2014-12-31,0,9.20000
C-diff per 10K Pt Days,NC-MOD,2015-03-31,0,11.43000
C-diff per 10K Pt Days,NC-MOD,2015-06-30,0,10.97000
C-diff per 10K Pt Days,NC-MOD,2015-09-30,0,9.45000
C-diff per 10K Pt Days,NC-MOD,2015-12-31,0,8.41000
C-diff per 10K Pt Days,NC-MOD,2016-03-31,0,7.70000
C-diff per 10K Pt Days,NC-MOD,2016-06-30,0,8.06000
C-diff per 10K Pt Days,NC-MOD,2016-09-30,0,7.79000
C-diff per 10K Pt Days,NC-OAK,2011-06-30,0,6.23200
C-diff per 10K Pt Days,NC-OAK,2011-09-30,0,7.04800
C-diff per 10K Pt Days,NC-OAK,2011-12-31,0,7.54000
C-diff per 10K Pt Days,NC-OAK,2012-03-31,0,8.37800
C-diff per 10K Pt Days,NC-OAK,2012-06-30,0,8.33400
C-diff per 10K Pt Days,NC-OAK,2012-09-30,0,7.08700
C-diff per 10K Pt Days,NC-OAK,2012-12-31,0,6.63400
C-diff per 10K Pt Days,NC-OAK,2013-03-31,0,6.16000
C-diff per 10K Pt Days,NC-OAK,2013-06-30,0,6.91500
C-diff per 10K Pt Days,NC-OAK,2013-09-30,0,7.32300
C-diff per 10K Pt Days,NC-OAK,2013-12-31,0,7.11900
C-diff per 10K Pt Days,NC-OAK,2014-03-31,0,7.56400
C-diff per 10K Pt Days,NC-OAK,2014-06-30,0,8.22000
C-diff per 10K Pt Days,NC-OAK,2014-09-30,1,7.60000
C-diff per 10K Pt Days,NC-OAK,2014-12-31,0,7.35000
C-diff per 10K Pt Days,NC-OAK,2015-03-31,0,7.77000
C-diff per 10K Pt Days,NC-OAK,2015-06-30,0,8.95000
C-diff per 10K Pt Days,NC-OAK,2015-09-30,0,8.94000
C-diff per 10K Pt Days,NC-OAK,2015-12-31,0,8.80000
C-diff per 10K Pt Days,NC-OAK,2016-03-31,0,7.76000
C-diff per 10K Pt Days,NC-OAK,2016-06-30,0,4.73000
C-diff per 10K Pt Days,NC-OAK,2016-09-30,0,4.36000
C-diff per 10K Pt Days,NC-RCH,2011-06-30,0,17.42600
C-diff per 10K Pt Days,NC-RCH,2011-09-30,0,14.38400
C-diff per 10K Pt Days,NC-RCH,2011-12-31,0,11.89700
C-diff per 10K Pt Days,NC-RCH,2012-03-31,0,11.61200
C-diff per 10K Pt Days,NC-RCH,2012-06-30,0,12.23200
C-diff per 10K Pt Days,NC-RCH,2012-09-30,0,11.34100
C-diff per 10K Pt Days,NC-RCH,2012-12-31,0,11.57300
C-diff per 10K Pt Days,NC-RCH,2013-03-31,0,8.55900
C-diff per 10K Pt Days,NC-RCH,2013-06-30,0,8.07800
C-diff per 10K Pt Days,NC-RCH,2013-09-30,0,8.26900
C-diff per 10K Pt Days,NC-RCH,2013-12-31,0,6.34300
C-diff per 10K Pt Days,NC-RCH,2014-03-31,0,7.40500
C-diff per 10K Pt Days,NC-RCH,2014-06-30,0,8.19000
C-diff per 10K Pt Days,NC-RCH,2014-09-30,0,6.94000
C-diff per 10K Pt Days,NC-RCH,2014-12-31,0,9.05000
C-diff per 10K Pt Days,NC-RCH,2015-03-31,0,9.55000
C-diff per 10K Pt Days,NC-RCH,2015-06-30,0,7.70000
C-diff per 10K Pt Days,NC-RCH,2015-09-30,0,6.88000
C-diff per 10K Pt Days,NC-RCH,2015-12-31,0,9.36000
C-diff per 10K Pt Days,NC-RCH,2016-03-31,0,8.92000
C-diff per 10K Pt Days,NC-RCH,2016-06-30,0,7.96000
C-diff per 10K Pt Days,NC-RCH,2016-09-30,0,7.59000
C-diff per 10K Pt Days,NC-Rgn,2011-06-30,0,6.98000
C-diff per 10K Pt Days,NC-Rgn,2011-09-30,0,6.95600
C-diff per 10K Pt Days,NC-Rgn,2011-12-31,0,6.74400
C-diff per 10K Pt Days,NC-Rgn,2012-03-31,0,6.65800
C-diff per 10K Pt Days,NC-Rgn,2012-06-30,0,6.49300
C-diff per 10K Pt Days,NC-Rgn,2012-09-30,0,5.90700
C-diff per 10K Pt Days,NC-Rgn,2012-12-31,0,5.70700
C-diff per 10K Pt Days,NC-Rgn,2013-03-31,0,5.70900
C-diff per 10K Pt Days,NC-Rgn,2013-06-30,0,5.89900
C-diff per 10K Pt Days,NC-Rgn,2013-09-30,0,6.28700
C-diff per 10K Pt Days,NC-Rgn,2013-12-31,0,6.46400
C-diff per 10K Pt Days,NC-Rgn,2014-03-31,0,6.71100
C-diff per 10K Pt Days,NC-Rgn,2014-06-30,0,7.04000
C-diff per 10K Pt Days,NC-Rgn,2014-09-30,0,7.26000
C-diff per 10K Pt Days,NC-Rgn,2014-12-31,0,7.90000
C-diff per 10K Pt Days,NC-Rgn,2015-03-31,0,8.06000
C-diff per 10K Pt Days,NC-Rgn,2015-06-30,0,8.47000
C-diff per 10K Pt Days,NC-Rgn,2015-09-30,0,8.86000
C-diff per 10K Pt Days,NC-Rgn,2015-12-31,0,8.67000
C-diff per 10K Pt Days,NC-Rgn,2016-03-31,0,8.60000
C-diff per 10K Pt Days,NC-Rgn,2016-06-30,0,7.82000
C-diff per 10K Pt Days,NC-Rgn,2016-09-30,0,6.77000
C-diff per 10K Pt Days,NC-ROS,2011-06-30,0,3.86400
C-diff per 10K Pt Days,NC-ROS,2011-09-30,0,4.48100
C-diff per 10K Pt Days,NC-ROS,2011-12-31,0,4.75100
C-diff per 10K Pt Days,NC-ROS,2012-03-31,0,4.86700
C-diff per 10K Pt Days,NC-ROS,2012-06-30,0,4.75100
C-diff per 10K Pt Days,NC-ROS,2012-09-30,0,4.32700
C-diff per 10K Pt Days,NC-ROS,2012-12-31,0,3.47000
C-diff per 10K Pt Days,NC-ROS,2013-03-31,0,3.49400
C-diff per 10K Pt Days,NC-ROS,2013-06-30,0,3.14290
C-diff per 10K Pt Days,NC-ROS,2013-09-30,0,3.86300
C-diff per 10K Pt Days,NC-ROS,2013-12-31,0,3.87400
C-diff per 10K Pt Days,NC-ROS,2014-03-31,0,3.87400
C-diff per 10K Pt Days,NC-ROS,2014-06-30,0,4.79000
C-diff per 10K Pt Days,NC-ROS,2014-09-30,0,4.47000
C-diff per 10K Pt Days,NC-ROS,2014-12-31,0,4.37000
C-diff per 10K Pt Days,NC-ROS,2015-03-31,0,4.35000
C-diff per 10K Pt Days,NC-ROS,2015-06-30,0,3.92000
C-diff per 10K Pt Days,NC-ROS,2015-09-30,0,3.90000
C-diff per 10K Pt Days,NC-ROS,2015-12-31,0,4.90000
C-diff per 10K Pt Days,NC-ROS,2016-03-31,0,5.71000
C-diff per 10K Pt Days,NC-ROS,2016-06-30,0,6.84000
C-diff per 10K Pt Days,NC-ROS,2016-09-30,0,6.32000
C-diff per 10K Pt Days,NC-RWC,2011-06-30,0,8.76600
C-diff per 10K Pt Days,NC-RWC,2011-09-30,0,8.27100
C-diff per 10K Pt Days,NC-RWC,2011-12-31,0,7.88200
C-diff per 10K Pt Days,NC-RWC,2012-03-31,0,6.19600
C-diff per 10K Pt Days,NC-RWC,2012-06-30,0,4.32100
C-diff per 10K Pt Days,NC-RWC,2012-09-30,0,4.68600
C-diff per 10K Pt Days,NC-RWC,2012-12-31,0,5.84900
C-diff per 10K Pt Days,NC-RWC,2013-03-31,0,7.92000
C-diff per 10K Pt Days,NC-RWC,2013-06-30,0,10.60700
C-diff per 10K Pt Days,NC-RWC,2013-09-30,0,10.65800
C-diff per 10K Pt Days,NC-RWC,2013-12-31,0,8.84500
C-diff per 10K Pt Days,NC-RWC,2014-03-31,0,9.12000
C-diff per 10K Pt Days,NC-RWC,2014-06-30,0,7.86000
C-diff per 10K Pt Days,NC-RWC,2014-09-30,0,7.72000
C-diff per 10K Pt Days,NC-RWC,2014-12-31,1,10.11000
C-diff per 10K Pt Days,NC-RWC,2015-03-31,0,10.37000
C-diff per 10K Pt Days,NC-RWC,2015-06-30,0,10.27000
C-diff per 10K Pt Days,NC-RWC,2015-09-30,0,9.66000
C-diff per 10K Pt Days,NC-RWC,2015-12-31,0,9.17000
C-diff per 10K Pt Days,NC-RWC,2016-03-31,0,7.33000
C-diff per 10K Pt Days,NC-RWC,2016-06-30,0,5.74000
C-diff per 10K Pt Days,NC-RWC,2016-09-30,0,4.63000
C-diff per 10K Pt Days,NC-SAC,2011-06-30,0,11.55200
C-diff per 10K Pt Days,NC-SAC,2011-09-30,0,11.55600
C-diff per 10K Pt Days,NC-SAC,2011-12-31,0,11.29300
C-diff per 10K Pt Days,NC-SAC,2012-03-31,0,9.61000
C-diff per 10K Pt Days,NC-SAC,2012-06-30,0,8.82500
C-diff per 10K Pt Days,NC-SAC,2012-09-30,0,8.40500
C-diff per 10K Pt Days,NC-SAC,2012-12-31,0,7.58400
C-diff per 10K Pt Days,NC-SAC,2013-03-31,0,5.97400
C-diff per 10K Pt Days,NC-SAC,2013-06-30,0,5.92600
C-diff per 10K Pt Days,NC-SAC,2013-09-30,0,5.70500
C-diff per 10K Pt Days,NC-SAC,2013-12-31,0,7.37400
C-diff per 10K Pt Days,NC-SAC,2014-03-31,0,9.53400
C-diff per 10K Pt Days,NC-SAC,2014-06-30,0,10.75000
C-diff per 10K Pt Days,NC-SAC,2014-09-30,0,10.65000
C-diff per 10K Pt Days,NC-SAC,2014-12-31,0,10.04000
C-diff per 10K Pt Days,NC-SAC,2015-03-31,0,7.60000
C-diff per 10K Pt Days,NC-SAC,2015-06-30,0,7.49000
C-diff per 10K Pt Days,NC-SAC,2015-09-30,0,7.40000
C-diff per 10K Pt Days,NC-SAC,2015-12-31,0,7.20000
C-diff per 10K Pt Days,NC-SAC,2016-03-31,0,8.06000
C-diff per 10K Pt Days,NC-SAC,2016-06-30,0,8.14000
C-diff per 10K Pt Days,NC-SAC,2016-09-30,0,8.05000
C-diff per 10K Pt Days,NC-SCH,2011-06-30,0,8.28000
C-diff per 10K Pt Days,NC-SCH,2011-09-30,0,7.18100
C-diff per 10K Pt Days,NC-SCH,2011-12-31,0,5.74100
C-diff per 10K Pt Days,NC-SCH,2012-03-31,0,5.82000
C-diff per 10K Pt Days,NC-SCH,2012-06-30,0,4.78100
C-diff per 10K Pt Days,NC-SCH,2012-09-30,0,5.08200
C-diff per 10K Pt Days,NC-SCH,2012-12-31,0,5.62200
C-diff per 10K Pt Days,NC-SCH,2013-03-31,0,3.97300
C-diff per 10K Pt Days,NC-SCH,2013-06-30,0,3.73300
C-diff per 10K Pt Days,NC-SCH,2013-09-30,0,3.77000
C-diff per 10K Pt Days,NC-SCH,2013-12-31,0,4.08100
C-diff per 10K Pt Days,NC-SCH,2014-03-31,0,3.80100
C-diff per 10K Pt Days,NC-SCH,2014-06-30,0,4.39000
C-diff per 10K Pt Days,NC-SCH,2014-09-30,0,4.29000
C-diff per 10K Pt Days,NC-SCH,2014-12-31,0,4.28000
C-diff per 10K Pt Days,NC-SCH,2015-03-31,0,5.18000
C-diff per 10K Pt Days,NC-SCH,2015-06-30,0,6.42000
C-diff per 10K Pt Days,NC-SCH,2015-09-30,0,8.18000
C-diff per 10K Pt Days,NC-SCH,2015-12-31,0,8.65000
C-diff per 10K Pt Days,NC-SCH,2016-03-31,0,9.94000
C-diff per 10K Pt Days,NC-SCH,2016-06-30,0,9.53000
C-diff per 10K Pt Days,NC-SCH,2016-09-30,0,7.98000
C-diff per 10K Pt Days,NC-SFO,2011-06-30,0,6.63200
C-diff per 10K Pt Days,NC-SFO,2011-09-30,0,6.07200
C-diff per 10K Pt Days,NC-SFO,2011-12-31,0,5.52300
C-diff per 10K Pt Days,NC-SFO,2012-03-31,0,5.12100
C-diff per 10K Pt Days,NC-SFO,2012-06-30,0,5.00700
C-diff per 10K Pt Days,NC-SFO,2012-09-30,0,4.37000
C-diff per 10K Pt Days,NC-SFO,2012-12-31,0,4.15800
C-diff per 10K Pt Days,NC-SFO,2013-03-31,0,4.57200
C-diff per 10K Pt Days,NC-SFO,2013-06-30,0,4.75000
C-diff per 10K Pt Days,NC-SFO,2013-09-30,0,4.41890
C-diff per 10K Pt Days,NC-SFO,2013-12-31,0,5.04300
C-diff per 10K Pt Days,NC-SFO,2014-03-31,0,3.97000
C-diff per 10K Pt Days,NC-SFO,2014-06-30,0,3.38000
C-diff per 10K Pt Days,NC-SFO,2014-09-30,0,3.89000
C-diff per 10K Pt Days,NC-SFO,2014-12-31,0,5.19000
C-diff per 10K Pt Days,NC-SFO,2015-03-31,0,5.00000
C-diff per 10K Pt Days,NC-SFO,2015-06-30,0,6.39000
C-diff per 10K Pt Days,NC-SFO,2015-09-30,0,7.36000
C-diff per 10K Pt Days,NC-SFO,2015-12-31,0,7.10000
C-diff per 10K Pt Days,NC-SFO,2016-03-31,0,8.25000
C-diff per 10K Pt Days,NC-SFO,2016-06-30,0,8.16000
C-diff per 10K Pt Days,NC-SFO,2016-09-30,0,6.70000
C-diff per 10K Pt Days,NC-SJO,2011-06-30,0,6.83300
C-diff per 10K Pt Days,NC-SJO,2011-09-30,0,7.25500
C-diff per 10K Pt Days,NC-SJO,2011-12-31,0,5.93300
